Stock,Forecast_Horizon,Timestamp,Current_Price,Forecast_Avg,Forecast_Trend,Accuracy_Estimate,Model_Order
AAPL,5min,2025-03-26 15:55,221.4,221.3891,Down,100.0,"(3, 1, 4)"
AAPL,15min,2025-03-26 15:55,221.4,221.3821,Down,99.91,"(3, 1, 4)"
AAPL,30min,2025-03-26 15:55,221.4,221.1894,Down,99.87,"(3, 1, 4)"
AAPL,1hour,2025-03-26 15:55,221.4,221.1022,Down,99.84,"(3, 1, 4)"
META,5min,2025-03-26 15:55,610.929,610.9001,Down,100.0,"(2, 1, 2)"
META,15min,2025-03-26 15:55,610.929,610.8804,Down,99.95,"(2, 1, 2)"
META,30min,2025-03-26 15:55,610.929,610.0106,Down,99.83,"(2, 1, 2)"
META,1hour,2025-03-26 15:55,610.929,609.3866,Down,99.74,"(2, 1, 2)"
NVDA,5min,2025-03-26 15:55,113.7,113.7,Down,100.0,"(0, 1, 0)"
NVDA,15min,2025-03-26 15:55,113.7,113.8628,Up,99.86,"(0, 1, 0)"
NVDA,30min,2025-03-26 15:55,113.7,113.6774,Down,99.84,"(0, 1, 0)"
NVDA,1hour,2025-03-26 15:55,113.7,113.5477,Down,99.79,"(0, 1, 0)"
GOOGL,5min,2025-03-26 15:55,165.05,165.0525,Up,100.0,"(1, 1, 0)"
GOOGL,15min,2025-03-26 15:55,165.05,165.2427,Up,99.88,"(1, 1, 0)"
GOOGL,30min,2025-03-26 15:55,165.05,165.1593,Up,99.91,"(1, 1, 0)"
GOOGL,1hour,2025-03-26 15:55,165.05,165.2806,Up,99.85,"(1, 1, 0)"
TSLA,5min,2025-03-26 15:55,271.99,271.99,Down,100.0,"(0, 1, 0)"
TSLA,15min,2025-03-26 15:55,271.99,271.1537,Down,99.69,"(0, 1, 0)"
TSLA,30min,2025-03-26 15:55,271.99,269.4021,Down,99.05,"(0, 1, 0)"
TSLA,1hour,2025-03-26 15:55,271.99,269.1047,Down,98.94,"(0, 1, 0)"
AMZN,5min,2025-03-26 15:55,201.148,201.1257,Down,99.99,"(1, 1, 0)"
AMZN,15min,2025-03-26 15:55,201.148,201.0136,Down,99.88,"(1, 1, 0)"
AMZN,30min,2025-03-26 15:55,201.148,200.7637,Down,99.78,"(1, 1, 0)"
AMZN,1hour,2025-03-26 15:55,201.148,200.5516,Down,99.69,"(1, 1, 0)"
MSFT,5min,2025-03-26 15:55,389.82,389.7603,Down,99.98,"(1, 1, 1)"
MSFT,15min,2025-03-26 15:55,389.82,389.9041,Up,99.9,"(1, 1, 1)"
MSFT,30min,2025-03-26 15:55,389.82,389.7628,Down,99.93,"(1, 1, 1)"
MSFT,1hour,2025-03-26 15:55,389.82,389.4757,Down,99.88,"(1, 1, 1)"
